1976,OREGON,OR,926664,0.28328930442965305,0.6465504217278323,0.07016027384251465,4,0.0,1.0,0.0
1978,OREGON,OR,873623,0.29548214733357525,0.6724239174105993,0.03209393525582545,4,0.0,1.0,0.0
1980,OREGON,OR,1106440,0.3965312172372655,0.5935586204403311,0.009910162322403384,4,0.25,0.75,0.0
1982,OREGON,OR,1014892,0.4303452978247932,0.5694684754633991,0.00018622671180775884,5,0.4,0.6,0.0
1984,OREGON,OR,1203491,0.4555090150237933,0.5443264635963211,0.00016452137988568256,5,0.4,0.6,0.0
1986,OREGON,OR,1031544,0.4328094584428779,0.5668812963867755,0.00030924517034658724,5,0.4,0.6,0.0
1988,OREGON,OR,1023596,0.3494552538306129,0.6492444284659182,0.0013003177034689468,5,0.4,0.6,0.0
1990,OREGON,OR,1052539,0.32516229802411123,0.6339508559777832,0.04088684599810554,5,0.2,0.8,0.0
1992,OREGON,OR,1390754,0.3976986584255735,0.5930567159972217,0.009244625577204884,5,0.2,0.8,0.0
1994,OREGON,OR,1192957,0.4179765071163504,0.5420052860245591,0.04001820685909048,5,0.4,0.6,0.0
1996,OREGON,OR,1335061,0.4176026413774352,0.5426688368546456,0.03972852176791922,5,0.2,0.8,0.0
1998,OREGON,OR,1090357,0.3682289378616361,0.5789351561002497,0.052835906038114125,5,0.2,0.8,0.0
2000,OREGON,OR,1440002,0.4215952477843781,0.5488638210224708,0.02954093119315112,5,0.2,0.8,0.0
2002,OREGON,OR,1240315,0.4265021385696375,0.5457645839968073,0.027733277433555185,5,0.2,0.8,0.0
2004,OREGON,OR,1772306,0.4296915995319093,0.5369772488498036,0.03333115161828713,5,0.2,0.8,0.0
2006,OREGON,OR,1357434,0.4106947372763611,0.5641917028746886,0.0251135598489503,5,0.2,0.8,0.0
2008,OREGON,OR,1682509,0.2590892530143969,0.6158487116562229,0.12506203532938012,5,0.2,0.8,0.0
2010,OREGON,OR,1429356,0.4596524588695888,0.5130765183761078,0.027271022754303337,5,0.2,0.8,0.0
2012,OREGON,OR,1708168,0.4026764346364058,0.5559523419242135,0.04137122343938067,5,0.2,0.8,0.0
2014,OREGON,OR,1450702,0.4018116746237339,0.5363879004785269,0.06180042489773916,5,0.2,0.8,0.0
2016,OREGON,OR,1911865,0.3822937288982224,0.5370938847669684,0.0806123863348092,5,0.2,0.8,0.0
2018,OREGON,OR,1847646,0.3802303038569077,0.5744671868961911,0.045302509246901185,5,0.2,0.8,0.0
